symbol,side,type,price,quantity,clientId
AAPL,BUY,LIMIT,189.50,100,alice
AAPL,SELL,LIMIT,189.75,150,bob
AAPL,SELL,LIMIT,189.50,60,carol
AAPL,BUY,LIMIT,189.25,200,dave
TSLA,BUY,LIMIT,245.00,80,alice
TSLA,SELL,LIMIT,244.75,80,eve
MSFT,BUY,LIMIT,410.10,120,frank
MSFT,SELL,MARKET,,50,grace
GOOG,SELL,LIMIT,138.20,90,heidi
GOOG,BUY,LIMIT,138.20,40,ivan
GOOG,BUY,MARKET,,60,judy
AAPL,SELL,LIMIT,189.60,75,karl
AAPL,BUY,LIMIT,189.60,75,leo
AMZN,BUY,LIMIT,178.40,300,mallory
AMZN,SELL,LIMIT,178.10,150,niaj
